,Country Name,Year,GDP,Population (Millions),CO2 per capita (Trillions),GDP (Trillions USD($)),GDP per capita
0,India,1980,186328579302.068,687.354025,0.424402,0.186328579302068,271.080945953678
1,India,1981,193491368445.573,703.69625,0.44759268,0.193491368445573,274.9643307685283
2,India,1982,200715624830.902,720.313473,0.45172426,0.200715624830902,278.6503825826704
3,India,1983,218262146413.158,737.372681,0.47764838,0.218262146413158,295.99977329938264
4,India,1984,212157645177.652,754.875449,0.4789781,0.212157645177652,281.0498678407171
5,India,1985,232511554840.372,772.647793,0.51459557,0.232511554840372,300.9282585763783
6,India,1986,248985994040.59,790.689978,0.5391722,0.24898599404059,314.8971164025428
7,India,1987,279033584092.223,808.93127,0.562909,0.279033584092223,344.9410282930749
8,India,1988,296589670895.932,827.34299,0.59431225,0.296589670895932,358.48453964169323
9,India,1989,296042052944.66,846.039529,0.63905036,0.29604205294465996,349.91515502186417
10,India,1990,320979026420.035,864.972221,0.668214,0.32097902642003495,371.085936203765
11,India,1991,270105341879.226,883.9276,0.69619745,0.270105341879226,305.5740559285919
12,India,1992,288208070278.013,902.95707,0.72586346,0.288208070278013,319.1824726263154
13,India,1993,279295648982.529,922.118387,0.7344633,0.279295648982529,302.88480624617347
14,India,1994,327274843459.429,941.163767,0.7586807,0.32727484345942903,347.73421473994017
15,India,1995,360281909643.489,960.301044,0.7919185,0.360281909643489,375.1760053730494
16,India,1996,392896866204.516,979.678458,0.8406862,0.39289686620451597,401.0467546735788
17,India,1997,415867563592.829,999.133762,0.8587196,0.415867563592829,416.2281162037531
18,India,1998,421351317224.941,1018.66508,0.8597363,0.42135131722494096,413.6308640568507
19,India,1999,458821052615.79,1038.225823,0.92580426,0.45882105261579,441.9279914363968
20,India,2000,468395521654.458,1057.922733,0.9330219,0.468395521654458,442.7502189372633
21,India,2001,485440139204.171,1077.898575,0.92884284,0.485440139204171,450.3579005141287
22,India,2002,514939140318.756,1097.60038,0.94091654,0.514939140318756,469.1499289739276
23,India,2003,607700687237.318,1116.803006,0.95665747,0.607700687237318,544.1431335450021
24,India,2004,709152728830.775,1135.991513,0.9987847,0.7091527288307751,624.2588265100666
25,India,2005,820383763511.445,1154.676322,1.0352627,0.8203837635114449,710.4880804089485
26,India,2006,940259888787.721,1172.87889,1.1026897,0.9402598887877209,801.6683536590218
27,India,2007,1216736438834.96,1190.676021,1.1703311,1.21673643883496,1021.8870770682631
28,India,2008,1198895139005.92,1207.930964,1.2338176,1.19889513900592,992.5195849238285
29,India,2009,1341888016994.9,1225.524753,1.3164382,1.3418880169949,1094.9497459843635
30,India,2010,1675615519484.96,1243.481564,1.3498628,1.67561551948496,1347.5193907136688
31,India,2011,1823051829894.55,1261.224954,1.3999841,1.82305182989455,1445.4612748603688
32,India,2012,1827637590410.41,1278.674502,1.5070187,1.8276375904104099,1429.3219952003155
33,India,2013,1856721507621.58,1295.829511,1.5398146,1.8567215076215802,1432.843975121956
34,India,2014,2039126479154.52,1312.277191,1.6368889,2.03912647915452,1553.8839607511857
35,India,2015,2103588360044.94,1328.024498,1.6805544,2.10358836004494,1583.9981590798484
36,India,2016,2294796885663.16,1343.944296,1.7504745,2.29479688566316,1707.5089291224317
37,India,2017,2651474262755.45,1359.6574,1.7840685,2.65147426275545,1950.1046828086621
38,India,2018,2702929641648.74,1374.659064,1.8879061,2.70292964164874,1966.2545517167885
39,India,2019,2835606256558.19,1389.030312,1.8798543,2.83560625655819,2041.42863698585
40,India,2020,2674851578587.27,1402.617695,1.7272933,2.67485157858727,1907.0425163766881
41,India,2021,3167270623260.47,1414.203896,1.8920738,3.16727062326047,2239.6138436748233
42,India,2022,3346107287730.93,1425.423212,1.9861692,3.34610728773093,2347.448294346234
43,India,2023,3638489096033.86,1438.069596,2.1297693,3.63848909603386,2530.1203127820386
44,India,2024,3909891533858.08,1450.935791,2.2009783,3.90989153385808,2694.7378085996083
45,Malawi,1980,1801156774.56852,6.265529,0.11333057,0.0018011567745685202,287.4708224267289
46,Malawi,1981,1801193909.52073,6.516454,0.09266549,0.00180119390952073,276.4070627247165
